"EnglishID","JapaneseName","ExcelSheet","ImageCount"
"shock","ショック","味方スキル","6"
"heal","ヒール","味方スキル","5"
"shelt","シェルト","味方スキル","3"
"hull_heal","ストレプション","味方スキル","5"
"speed_slash","ウルペスラッシュ","味方スキル","1"
"hero_slash","ウルペススラッシュ","味方スキル","1"
"hero_one_slash","真っ二つ","味方スキル","2"
"huriharai","振り払い","味方スキル","2"
"lan_wave","ランウェーブ","味方スキル","3"
"taunt_shield","まとめてかかってこい","味方スキル","0"
"masic_shot","魔力弾","味方スキル","1"
"fire","ファイア","味方スキル","6"
"ice_word","アイスワールド","味方スキル","5"
"1_defend","防御指示","味方スキル","1"
"1_attack","攻撃指示","味方スキル","1"
"all_defend","防御陣形","味方スキル","0"
"all_attack","攻撃陣形","味方スキル","0"
"hero_critical_passive","慣れた剣捌き","味方スキル","0"
"damage_dot_passive","痛みなし","味方スキル","1"
"warmup_passive","あったまってきたよ！","味方スキル","3"
"hilment_passive","ヒルメント","味方スキル","1"
"take_aim","フォーカス","味方スキル","2"
"horn_rabbit_attack_knife","突き刺し","味方スキル","0"
"horn_rabbit_attack_sword","振りかざし","味方スキル","0"
"horn_rabbit_attack_fist","顔面パンチ","味方スキル","0"
"horn_rabbit_attack_staff","2連打撃","味方スキル","0"
"horn_rabbit_attack_stick","魔力弾","味方スキル","0"
"horn_rabbit_attack_book","ショック","味方スキル","0"
"horn_rabbit_attack_flute","魔力中和音","味方スキル","0"
"bud_alraune_attack_knife","突き刺し","味方スキル","0"
"bud_alraune_attack_sword","振りかざし","味方スキル","0"
"bud_alraunet_attack_fist","顔面パンチ","味方スキル","0"
"bud_alraune_attack_staff","2連打撃","味方スキル","0"
"bud_alraune_attack_stick","魔力弾","味方スキル","0"
"bud_alraune_attack_book","ショック","味方スキル","0"
"bud_alraune_attack_flute","目覚まし","味方スキル","0"
"shadow_wolf_attack_knife","突き刺し","味方スキル","0"
"shadow_wolf_attack_sword","振りかざし","味方スキル","0"
"shadow_wolf_attack_fist","顔面パンチ","味方スキル","0"
"shadow_wolf_attack_staff","2連打撃","味方スキル","0"
"shadow_wolf_attack_flute","遠吠え","味方スキル","0"
"distance","ノータッチ","味方スキル","1"
"number_of_times","手数勝負","味方スキル","0"
"gouken","剛拳","味方スキル","1"
"magic_add_on","魔力上乗せ","味方スキル","1"
"lightweight_buff","身軽援助","味方スキル","1"
"regret","悔恨","味方スキル","4"
"flostiny_attack_knife","突き刺し","味方スキル","0"
"flostiny_attack_sword","振りかざし","味方スキル","0"
"flostiny_attack_fist","顔面パンチ","味方スキル","0"
"flostiny_attack_staff","2連打撃","味方スキル","0"
"flostiny_attack_stick","魔力弾","味方スキル","0"
"flostiny_attack_book","ショック","味方スキル","0"
"flostiny_attack_flute","予知の音","味方スキル","0"
"walta","ウォルタ","味方スキル","3"
"eleki","エレキ","味方スキル","5"
"ice","コルド","味方スキル","3"
"ten_hit_combo","10連撃","味方スキル","4"
"sharpen_blade","研磨","味方スキル","1"
"counterattack_stance","反撃","味方スキル","3"
"mizootoshi","溝落","味方スキル","1"
"headbutt","頭突き","味方スキル","1"
"film_in","フィルム","味方スキル","0"
"full_power_attack","全力アタック","味方スキル","1"
"feet_hunt","足狩","味方スキル","1"
"bomber","ボンバー","味方スキル","4"
"enemy_attack","通常攻撃","敵スキル","3"
"enemy_caster_line","射撃線","敵スキル","4"
"enemy_heavy_slam","ヘビースラム","敵スキル","3"
"d_enemy_attack","通常攻撃","敵スキル","3"
"rush","突進","敵スキル","3"
"multi_biting","連続噛みつき","敵スキル","3"
"vine_punch","つるの打撃","敵スキル","3"
"sleep_scent","甘い香り","敵スキル","5"
"pollen_spraying","花粉散布","敵スキル","3"
"biting","噛みつき","敵スキル","3"
"shadow_dash","影走り","敵スキル","3"
"throat_hunt","喉笛狩り","敵スキル","5"
"vine_whip","ツル鞭","敵スキル","3"
"poisonous_stinger","毒針","敵スキル","6"
"absorption_of_reunion","吸収","敵スキル","3"
"sowing_seeds","種まき","敵スキル","3"
"welcome_rain","恵みの雨","敵スキル","3"
"dappled_sunlight","木漏れ日","敵スキル","0"
"intertwined_roots","絡み合う根","敵スキル","5"
"picking_flowers","お花摘み","敵スキル","0"
"rue","ヘンルーダ","敵スキル","4"
"purple_hyacinth","紫のヒヤシンス","敵スキル","0"
"calendula","キンセンカ","敵スキル","0"
"calendula_beam","キンセンカビーム","敵スキル","0"
"red_spider_lily","赤の彼岸花","敵スキル","0"
"chocolate_lily","クロユリ","敵スキル","1"
